cycle,branch,forecastdate,district,candidateA,candidateB,displaystep,description,margin,lite_weight,classic_weight,deluxe_weight,simulations,timestamp
2022,Governor,10/23/22,WY-G1,Theresa A. Livingston,Mark Gordon,4,Expert ratings adjusted for national environment,-43.13612,0,0,.7177314,40000,11:43:34 23 Oct 2022
2022,Governor,10/23/22,WY-G1,Theresa A. Livingston,Mark Gordon,3,Fundamentals (non-polling factors),-42.43073,0,1.284435,1.284435,40000,11:43:34 23 Oct 2022
2022,Governor,10/23/22,WY-G1,Theresa A. Livingston,Mark Gordon,2,CANTOR (analysis of comparable disticts),-36.53143,.8358126,.1545999,.1545999,40000,11:43:34 23 Oct 2022
2022,Governor,10/23/22,WY-G1,Theresa A. Livingston,Mark Gordon,1,Polls adjusted for house effects & other factors,,0,0,0,40000,11:43:34 23 Oct 2022
2022,Governor,10/23/22,WI-G1,Tony Evers,Tim Michels,4,Expert ratings adjusted for national environment,-1.331544,0,0,5.523664,40000,11:43:34 23 Oct 2022
2022,Governor,10/23/22,WI-G1,Tony Evers,Tim Michels,3,Fundamentals (non-polling factors),13.52066,0,1.284435,1.284435,40000,11:43:34 23 Oct 2022
2022,Governor,10/23/22,WI-G1,Tony Evers,Tim Michels,2,CANTOR (analysis of comparable disticts),7.759758,0,.1545999,.1545999,40000,11:43:34 23 Oct 2022
2022,Governor,10/23/22,WI-G1,Tony Evers,Tim Michels,1,Polls adjusted for house effects & other factors,.1127625,9.635782,9.635782,9.635782,40000,11:43:34 23 Oct 2022
2022,Governor,10/23/22,VT-G1,Brenda Siegel,Phil Scott,4,Expert ratings adjusted for national environment,-26.256,0,0,1.599312,40000,11:43:34 23 Oct 2022
2022,Governor,10/23/22,VT-G1,Brenda Siegel,Phil Scott,3,Fundamentals (non-polling factors),-11.65154,0,1.284435,1.284435,40000,11:43:34 23 Oct 2022
2022,Governor,10/23/22,VT-G1,Brenda Siegel,Phil Scott,2,CANTOR (analysis of comparable disticts),1.739445,.2324523,.1545999,.1545999,40000,11:43:34 23 Oct 2022
2022,Governor,10/23/22,VT-G1,Brenda Siegel,Phil Scott,1,Polls adjusted for house effects & other factors,-35.07003,1.767548,1.767548,1.767548,40000,11:43:34 23 Oct 2022
2022,Governor,10/23/22,TX-G1,Beto O'Rourke,Greg Abbott,4,Expert ratings adjusted for national environment,-17.56668,0,0,4.418926,40000,11:43:34 23 Oct 2022
2022,Governor,10/23/22,TX-G1,Beto O'Rourke,Greg Abbott,3,Fundamentals (non-polling factors),-12.52727,0,1.284435,1.284435,40000,11:43:34 23 Oct 2022
2022,Governor,10/23/22,TX-G1,Beto O'Rourke,Greg Abbott,2,CANTOR (analysis of comparable disticts),-12.10603,0,.1545999,.1545999,40000,11:43:34 23 Oct 2022
2022,Governor,10/23/22,TX-G1,Beto O'Rourke,Greg Abbott,1,Polls adjusted for house effects & other factors,-8.11755,7.420809,7.420809,7.420809,40000,11:43:34 23 Oct 2022
2022,Governor,10/23/22,TN-G1,Jason Brantley Martin,Bill Lee,4,Expert ratings adjusted for national environment,-28.50473,0,0,.7177314,40000,11:43:34 23 Oct 2022
2022,Governor,10/23/22,TN-G1,Jason Brantley Martin,Bill Lee,3,Fundamentals (non-polling factors),-26.70546,0,1.284435,1.284435,40000,11:43:34 23 Oct 2022
