cycle,branch,forecastdate,district,candidateA,candidateB,displaystep,description,margin,lite_weight,classic_weight,deluxe_weight,simulations,timestamp
2022,House,10/23/22,WY-1,Lynnette GreyBull,Harriet Hageman,4,Expert ratings adjusted for national environment,-50.44651,0,0,.7177314,40000,11:43:34 23 Oct 2022
2022,House,10/23/22,WY-1,Lynnette GreyBull,Harriet Hageman,3,Fundamentals (non-polling factors),-50.18826,0,1.284435,1.284435,40000,11:43:34 23 Oct 2022
2022,House,10/23/22,WY-1,Lynnette GreyBull,Harriet Hageman,2,CANTOR (analysis of comparable disticts),-35.12464,.8358126,.1545999,.1545999,40000,11:43:34 23 Oct 2022
2022,House,10/23/22,WY-1,Lynnette GreyBull,Harriet Hageman,1,Polls adjusted for house effects & other factors,,0,0,0,40000,11:43:34 23 Oct 2022
2022,House,10/23/22,WV-2,Barry Lee Wendell,Alexander X. Mooney,4,Expert ratings adjusted for national environment,-33.83147,0,0,.7177314,40000,11:43:34 23 Oct 2022
2022,House,10/23/22,WV-2,Barry Lee Wendell,Alexander X. Mooney,3,Fundamentals (non-polling factors),-31.87692,0,1.284435,1.284435,40000,11:43:34 23 Oct 2022
2022,House,10/23/22,WV-2,Barry Lee Wendell,Alexander X. Mooney,2,CANTOR (analysis of comparable disticts),-31.50986,.8358126,.1545999,.1545999,40000,11:43:34 23 Oct 2022
2022,House,10/23/22,WV-2,Barry Lee Wendell,Alexander X. Mooney,1,Polls adjusted for house effects & other factors,,0,0,0,40000,11:43:34 23 Oct 2022
2022,House,10/23/22,WV-1,Lacy Watson,Carol Miller,4,Expert ratings adjusted for national environment,-43.66078,0,0,.7177314,40000,11:43:34 23 Oct 2022
2022,House,10/23/22,WV-1,Lacy Watson,Carol Miller,3,Fundamentals (non-polling factors),-43.0322,0,1.284435,1.284435,40000,11:43:34 23 Oct 2022
2022,House,10/23/22,WV-1,Lacy Watson,Carol Miller,2,CANTOR (analysis of comparable disticts),-31.35513,.8358126,.1545999,.1545999,40000,11:43:34 23 Oct 2022
2022,House,10/23/22,WV-1,Lacy Watson,Carol Miller,1,Polls adjusted for house effects & other factors,,0,0,0,40000,11:43:34 23 Oct 2022
2022,House,10/23/22,WI-8,All others,Mike Gallagher,4,Expert ratings adjusted for national environment,-59.89476,0,0,.7177314,40000,11:43:34 23 Oct 2022
2022,House,10/23/22,WI-8,All others,Mike Gallagher,3,Fundamentals (non-polling factors),-59.89476,1.439034,1.439034,1.439034,40000,11:43:34 23 Oct 2022
2022,House,10/23/22,WI-8,All others,Mike Gallagher,2,CANTOR (analysis of comparable disticts),,0,0,0,40000,11:43:34 23 Oct 2022
2022,House,10/23/22,WI-8,All others,Mike Gallagher,1,Polls adjusted for house effects & other factors,,0,0,0,40000,11:43:34 23 Oct 2022
2022,House,10/23/22,WI-7,Richard Dick Ausman,Tom Tiffany,4,Expert ratings adjusted for national environment,-32.50492,0,0,.7177314,40000,11:43:34 23 Oct 2022
2022,House,10/23/22,WI-7,Richard Dick Ausman,Tom Tiffany,3,Fundamentals (non-polling factors),-31.23832,0,1.284435,1.284435,40000,11:43:34 23 Oct 2022
2022,House,10/23/22,WI-7,Richard Dick Ausman,Tom Tiffany,2,CANTOR (analysis of comparable disticts),-23.96005,.8358126,.1545999,.1545999,40000,11:43:34 23 Oct 2022
2022,House,10/23/22,WI-7,Richard Dick Ausman,Tom Tiffany,1,Polls adjusted for house effects & other factors,,0,0,0,40000,11:43:34 23 Oct 2022
2022,House,10/23/22,WI-6,(unopposed),Glenn Grothman,4,Expert ratings adjusted for national environment,19.99438,0,0,0,40000,11:43:34 23 Oct 2022
2022,House,10/23/22,WI-6,(unopposed),Glenn Grothman,3,Fundamentals (non-polling factors),-100,1.439034,1.439034,1.439034,40000,11:43:34 23 Oct 2022
2022,House,10/23/22,WI-6,(unopposed),Glenn Grothman,2,CANTOR (analysis of comparable disticts),,0,0,0,40000,11:43:34 23 Oct 2022
2022,House,10/23/22,WI-6,(unopposed),Glenn Grothman,1,Polls adjusted for house effects & other factors,,0,0,0,40000,11:43:34 23 Oct 2022
2022,House,10/23/22,WI-5,Mike Van Someren,Scott Fitzgerald,4,Expert ratings adjusted for national environment,-34.23555,0,0,.7177314,40000,11:43:34 23 Oct 2022
