cycle,branch,forecastdate,district,candidateA,candidateB,displaystep,description,margin,lite_weight,classic_weight,deluxe_weight,simulations,timestamp
2022,Senate,10/23/22,WI-S3,Mandela Barnes,Ron Johnson,4,Expert ratings adjusted for national environment,-5.573561,0,0,5.786394,40000,11:43:34 23 Oct 2022
2022,Senate,10/23/22,WI-S3,Mandela Barnes,Ron Johnson,3,Fundamentals (non-polling factors),-4.931104,0,1.284435,1.284435,40000,11:43:34 23 Oct 2022
2022,Senate,10/23/22,WI-S3,Mandela Barnes,Ron Johnson,2,CANTOR (analysis of comparable disticts),-6.320926,0,.1545999,.1545999,40000,11:43:34 23 Oct 2022
2022,Senate,10/23/22,WI-S3,Mandela Barnes,Ron Johnson,1,Polls adjusted for house effects & other factors,-2.922726,10.16255,10.16255,10.16255,40000,11:43:34 23 Oct 2022
2022,Senate,10/23/22,WA-S3,Patty Murray,Tiffany Smiley,4,Expert ratings adjusted for national environment,10.2039,0,0,4.888302,40000,11:43:34 23 Oct 2022
2022,Senate,10/23/22,WA-S3,Patty Murray,Tiffany Smiley,3,Fundamentals (non-polling factors),16.05692,0,1.342794,1.342794,40000,11:43:34 23 Oct 2022
2022,Senate,10/23/22,WA-S3,Patty Murray,Tiffany Smiley,2,CANTOR (analysis of comparable disticts),12.43079,0,.0962403,.0962403,40000,11:43:34 23 Oct 2022
2022,Senate,10/23/22,WA-S3,Patty Murray,Tiffany Smiley,1,Polls adjusted for house effects & other factors,8.08334,8.361896,8.361896,8.361896,40000,11:43:34 23 Oct 2022
2022,Senate,10/23/22,VT-S3,Peter Welch,Gerald Malloy,4,Expert ratings adjusted for national environment,21.84385,0,0,1.749897,40000,11:43:34 23 Oct 2022
2022,Senate,10/23/22,VT-S3,Peter Welch,Gerald Malloy,3,Fundamentals (non-polling factors),27.24063,0,1.284435,1.284435,40000,11:43:34 23 Oct 2022
2022,Senate,10/23/22,VT-S3,Peter Welch,Gerald Malloy,2,CANTOR (analysis of comparable disticts),12.63757,0,.1545999,.1545999,40000,11:43:34 23 Oct 2022
2022,Senate,10/23/22,VT-S3,Peter Welch,Gerald Malloy,1,Polls adjusted for house effects & other factors,19.6306,2.069468,2.069468,2.069468,40000,11:43:34 23 Oct 2022
2022,Senate,10/23/22,UT-S3,Evan McMullin,Mike Lee,4,Expert ratings adjusted for national environment,-13.95472,0,0,2.909642,40000,11:43:34 23 Oct 2022
2022,Senate,10/23/22,UT-S3,Evan McMullin,Mike Lee,3,Fundamentals (non-polling factors),-26.81484,0,1.284435,1.284435,40000,11:43:34 23 Oct 2022
2022,Senate,10/23/22,UT-S3,Evan McMullin,Mike Lee,2,CANTOR (analysis of comparable disticts),-19.08962,0,.1545999,.1545999,40000,11:43:34 23 Oct 2022
2022,Senate,10/23/22,UT-S3,Evan McMullin,Mike Lee,1,Polls adjusted for house effects & other factors,-8.124996,4.39473,4.39473,4.39473,40000,11:43:34 23 Oct 2022
2022,Senate,10/23/22,SD-S3,Brian L. Bengs,John R. Thune,4,Expert ratings adjusted for national environment,-31.98226,0,0,1.391356,40000,11:43:34 23 Oct 2022
2022,Senate,10/23/22,SD-S3,Brian L. Bengs,John R. Thune,3,Fundamentals (non-polling factors),-37.93343,0,1.284435,1.284435,40000,11:43:34 23 Oct 2022
2022,Senate,10/23/22,SD-S3,Brian L. Bengs,John R. Thune,2,CANTOR (analysis of comparable disticts),-19.33517,.6493979,.1545999,.1545999,40000,11:43:34 23 Oct 2022
2022,Senate,10/23/22,SD-S3,Brian L. Bengs,John R. Thune,1,Polls adjusted for house effects & other factors,-23.48099,1.350602,1.350602,1.350602,40000,11:43:34 23 Oct 2022
2022,Senate,10/23/22,SC-S3,Krystle Matthews,Tim Scott,4,Expert ratings adjusted for national environment,-26.3588,0,0,1.295473,40000,11:43:34 23 Oct 2022
2022,Senate,10/23/22,SC-S3,Krystle Matthews,Tim Scott,3,Fundamentals (non-polling factors),-25.6813,0,1.284435,1.284435,40000,11:43:34 23 Oct 2022
2022,Senate,10/23/22,SC-S3,Krystle Matthews,Tim Scott,2,CANTOR (analysis of comparable disticts),-13.17969,.8358126,.1545999,.1545999,40000,11:43:34 23 Oct 2022
2022,Senate,10/23/22,SC-S3,Krystle Matthews,Tim Scott,1,Polls adjusted for house effects & other factors,-22.00314,1.158359,1.158359,1.158359,40000,11:43:34 23 Oct 2022
2022,Senate,10/23/22,PA-S3,John Fetterman,Mehmet Oz,4,Expert ratings adjusted for national environment,.3635374,0,0,6.414023,40000,11:43:34 23 Oct 2022
2022,Senate,10/23/22,PA-S3,John Fetterman,Mehmet Oz,3,Fundamentals (non-polling factors),-.9332342,0,1.284435,1.284435,40000,11:43:34 23 Oct 2022
2022,Senate,10/23/22,PA-S3,John Fetterman,Mehmet Oz,2,CANTOR (analysis of comparable disticts),-.811875,0,.1545999,.1545999,40000,11:43:34 23 Oct 2022
2022,Senate,10/23/22,PA-S3,John Fetterman,Mehmet Oz,1,Polls adjusted for house effects & other factors,2.405193,11.42093,11.42093,11.42093,40000,11:43:34 23 Oct 2022
2022,Senate,10/23/22,OR-S3,Ron Wyden,Jo Rae Perkins,4,Expert ratings adjusted for national environment,20.60744,0,0,2.645498,40000,11:43:34 23 Oct 2022
2022,Senate,10/23/22,OR-S3,Ron Wyden,Jo Rae Perkins,3,Fundamentals (non-polling factors),17.62066,0,1.284435,1.284435,40000,11:43:34 23 Oct 2022
2022,Senate,10/23/22,OR-S3,Ron Wyden,Jo Rae Perkins,2,CANTOR (analysis of comparable disticts),10.50609,0,.1545999,.1545999,40000,11:43:34 23 Oct 2022
2022,Senate,10/23/22,OR-S3,Ron Wyden,Jo Rae Perkins,1,Polls adjusted for house effects & other factors,15.51301,3.865127,3.865127,3.865127,40000,11:43:34 23 Oct 2022
2022,Senate,10/23/22,OK-S3,Madison Horn,James Lankford,4,Expert ratings adjusted for national environment,-26.9631,0,0,2.354625,40000,11:43:34 23 Oct 2022
2022,Senate,10/23/22,OK-S3,Madison Horn,James Lankford,3,Fundamentals (non-polling factors),-40.73325,0,1.284435,1.284435,40000,11:43:34 23 Oct 2022
2022,Senate,10/23/22,OK-S3,Madison Horn,James Lankford,2,CANTOR (analysis of comparable disticts),-22.09345,0,.1545999,.1545999,40000,11:43:34 23 Oct 2022
2022,Senate,10/23/22,OK-S3,Madison Horn,James Lankford,1,Polls adjusted for house effects & other factors,-17.73476,3.281933,3.281933,3.281933,40000,11:43:34 23 Oct 2022
2022,Senate,10/23/22,OK-S2,Kendra Horn,Markwayne Mullin,4,Expert ratings adjusted for national environment,-24.62329,0,0,2.354625,40000,11:43:34 23 Oct 2022
2022,Senate,10/23/22,OK-S2,Kendra Horn,Markwayne Mullin,3,Fundamentals (non-polling factors),-34.67946,0,1.284435,1.284435,40000,11:43:34 23 Oct 2022
2022,Senate,10/23/22,OK-S2,Kendra Horn,Markwayne Mullin,2,CANTOR (analysis of comparable disticts),-16.68083,0,.1545999,.1545999,40000,11:43:34 23 Oct 2022
2022,Senate,10/23/22,OK-S2,Kendra Horn,Markwayne Mullin,1,Polls adjusted for house effects & other factors,-14.54943,3.281933,3.281933,3.281933,40000,11:43:34 23 Oct 2022
2022,Senate,10/23/22,OH-S3,Tim Ryan,J.D. Vance,4,Expert ratings adjusted for national environment,-8.592268,0,0,6.237613,40000,11:43:34 23 Oct 2022
2022,Senate,10/23/22,OH-S3,Tim Ryan,J.D. Vance,3,Fundamentals (non-polling factors),-8.243692,0,1.284435,1.284435,40000,11:43:34 23 Oct 2022
2022,Senate,10/23/22,OH-S3,Tim Ryan,J.D. Vance,2,CANTOR (analysis of comparable disticts),-4.822672,0,.1545999,.1545999,40000,11:43:34 23 Oct 2022
2022,Senate,10/23/22,OH-S3,Tim Ryan,J.D. Vance,1,Polls adjusted for house effects & other factors,-1.501434,11.06723,11.06723,11.06723,40000,11:43:34 23 Oct 2022
2022,Senate,10/23/22,NY-S3,Charles E. Schumer,Joe Pinion,4,Expert ratings adjusted for national environment,20.47201,0,0,4.166993,40000,11:43:34 23 Oct 2022
2022,Senate,10/23/22,NY-S3,Charles E. Schumer,Joe Pinion,3,Fundamentals (non-polling factors),28.45205,0,1.284435,1.284435,40000,11:43:34 23 Oct 2022
2022,Senate,10/23/22,NY-S3,Charles E. Schumer,Joe Pinion,2,CANTOR (analysis of comparable disticts),14.51004,0,.1545999,.1545999,40000,11:43:34 23 Oct 2022
2022,Senate,10/23/22,NY-S3,Charles E. Schumer,Joe Pinion,1,Polls adjusted for house effects & other factors,16.77529,6.915688,6.915688,6.915688,40000,11:43:34 23 Oct 2022
2022,Senate,10/23/22,NV-S3,Catherine Cortez Masto,Adam Paul Laxalt,4,Expert ratings adjusted for national environment,-1.875414,0,0,5.788157,40000,11:43:34 23 Oct 2022
2022,Senate,10/23/22,NV-S3,Catherine Cortez Masto,Adam Paul Laxalt,3,Fundamentals (non-polling factors),5.987789,0,1.284435,1.284435,40000,11:43:34 23 Oct 2022
2022,Senate,10/23/22,NV-S3,Catherine Cortez Masto,Adam Paul Laxalt,2,CANTOR (analysis of comparable disticts),4.920538,0,.1545999,.1545999,40000,11:43:34 23 Oct 2022
2022,Senate,10/23/22,NV-S3,Catherine Cortez Masto,Adam Paul Laxalt,1,Polls adjusted for house effects & other factors,-.4619598,10.16608,10.16608,10.16608,40000,11:43:34 23 Oct 2022
2022,Senate,10/23/22,NH-S3,Maggie Hassan,Donald C. Bolduc,4,Expert ratings adjusted for national environment,4.061684,0,0,4.590985,40000,11:43:34 23 Oct 2022
2022,Senate,10/23/22,NH-S3,Maggie Hassan,Donald C. Bolduc,3,Fundamentals (non-polling factors),8.880137,0,1.284435,1.284435,40000,11:43:34 23 Oct 2022
2022,Senate,10/23/22,NH-S3,Maggie Hassan,Donald C. Bolduc,2,CANTOR (analysis of comparable disticts),7.139077,0,.1545999,.1545999,40000,11:43:34 23 Oct 2022
2022,Senate,10/23/22,NH-S3,Maggie Hassan,Donald C. Bolduc,1,Polls adjusted for house effects & other factors,6.748085,7.765783,7.765783,7.765783,40000,11:43:34 23 Oct 2022
2022,Senate,10/23/22,ND-S3,Katrina Christiansen,John Hoeven,4,Expert ratings adjusted for national environment,-45.43918,0,0,.7177314,40000,11:43:34 23 Oct 2022
2022,Senate,10/23/22,ND-S3,Katrina Christiansen,John Hoeven,3,Fundamentals (non-polling factors),-44.54605,0,1.284435,1.284435,40000,11:43:34 23 Oct 2022
2022,Senate,10/23/22,ND-S3,Katrina Christiansen,John Hoeven,2,CANTOR (analysis of comparable disticts),-35.35917,.8358126,.1545999,.1545999,40000,11:43:34 23 Oct 2022
2022,Senate,10/23/22,ND-S3,Katrina Christiansen,John Hoeven,1,Polls adjusted for house effects & other factors,,0,0,0,40000,11:43:34 23 Oct 2022
2022,Senate,10/23/22,NC-S3,Cheri Beasley,Ted Budd,4,Expert ratings adjusted for national environment,-7.812512,0,0,4.946315,40000,11:43:34 23 Oct 2022
2022,Senate,10/23/22,NC-S3,Cheri Beasley,Ted Budd,3,Fundamentals (non-polling factors),-3.308728,0,1.284435,1.284435,40000,11:43:34 23 Oct 2022
2022,Senate,10/23/22,NC-S3,Cheri Beasley,Ted Budd,2,CANTOR (analysis of comparable disticts),-1.660178,0,.1545999,.1545999,40000,11:43:34 23 Oct 2022
2022,Senate,10/23/22,NC-S3,Cheri Beasley,Ted Budd,1,Polls adjusted for house effects & other factors,-2.22266,8.478211,8.478211,8.478211,40000,11:43:34 23 Oct 2022
2022,Senate,10/23/22,MO-S3,Trudy Busch Valentine,Eric Schmitt,4,Expert ratings adjusted for national environment,-24.77534,0,0,2.453336,40000,11:43:34 23 Oct 2022
2022,Senate,10/23/22,MO-S3,Trudy Busch Valentine,Eric Schmitt,3,Fundamentals (non-polling factors),-22.55972,0,1.284435,1.284435,40000,11:43:34 23 Oct 2022
2022,Senate,10/23/22,MO-S3,Trudy Busch Valentine,Eric Schmitt,2,CANTOR (analysis of comparable disticts),-8.665797,0,.1545999,.1545999,40000,11:43:34 23 Oct 2022
2022,Senate,10/23/22,MO-S3,Trudy Busch Valentine,Eric Schmitt,1,Polls adjusted for house effects & other factors,-11.79681,3.479847,3.479847,3.479847,40000,11:43:34 23 Oct 2022
2022,Senate,10/23/22,MD-S3,Chris Van Hollen,Chris Chaffee,4,Expert ratings adjusted for national environment,24.78449,0,0,1.382779,40000,11:43:34 23 Oct 2022
2022,Senate,10/23/22,MD-S3,Chris Van Hollen,Chris Chaffee,3,Fundamentals (non-polling factors),31.10999,0,1.284435,1.284435,40000,11:43:34 23 Oct 2022
2022,Senate,10/23/22,MD-S3,Chris Van Hollen,Chris Chaffee,2,CANTOR (analysis of comparable disticts),17.63995,.6665951,.1545999,.1545999,40000,11:43:34 23 Oct 2022
2022,Senate,10/23/22,MD-S3,Chris Van Hollen,Chris Chaffee,1,Polls adjusted for house effects & other factors,22.24233,1.333405,1.333405,1.333405,40000,11:43:34 23 Oct 2022
2022,Senate,10/23/22,LA-S3,All Democrats,All Republicans,4,Expert ratings adjusted for national environment,-24.37795,0,0,.7177314,40000,11:43:34 23 Oct 2022
2022,Senate,10/23/22,LA-S3,All Democrats,All Republicans,3,Fundamentals (non-polling factors),-18.74033,0,1.284435,1.284435,40000,11:43:34 23 Oct 2022
2022,Senate,10/23/22,LA-S3,All Democrats,All Republicans,2,CANTOR (analysis of comparable disticts),-23.99487,.8358126,.1545999,.1545999,40000,11:43:34 23 Oct 2022
2022,Senate,10/23/22,LA-S3,All Democrats,All Republicans,1,Polls adjusted for house effects & other factors,,0,0,0,40000,11:43:34 23 Oct 2022
2022,Senate,10/23/22,KY-S3,Charles Booker,Rand Paul,4,Expert ratings adjusted for national environment,-25.80959,0,0,1.081586,40000,11:43:34 23 Oct 2022
2022,Senate,10/23/22,KY-S3,Charles Booker,Rand Paul,3,Fundamentals (non-polling factors),-26.1449,0,1.284435,1.284435,40000,11:43:34 23 Oct 2022
